Measure,Year,TravelType,Reason,UNIT,Value
Estimated Expenditure by Irish Residents,2001,Outbound,Other reasons,Euro Million,196.8
Estimated Expenditure by Irish Residents,2002,Domestic,All reasons for journey,Euro Million,894.4
Estimated Expenditure by Irish Residents,2002,Domestic,Holiday,Euro Million,501.6
Estimated Expenditure by Irish Residents,2002,Domestic,Business,Euro Million,152.9
Estimated Expenditure by Irish Residents,2002,Domestic,Visiting friends/relatives,Euro Million,97.2
Estimated Expenditure by Irish Residents,2002,Domestic,Other reasons,Euro Million,97.7
Estimated Expenditure by Irish Residents,2002,Outbound,All reasons for journey,Euro Million,3924.0
Estimated Expenditure by Irish Residents,2002,Outbound,Holiday,Euro Million,2565.3
Estimated Expenditure by Irish Residents,2002,Outbound,Business,Euro Million,796.1
Estimated Expenditure by Irish Residents,2002,Outbound,Visiting friends/relatives,Euro Million,351.2
Estimated Expenditure by Irish Residents,2002,Outbound,Other reasons,Euro Million,211.4
Estimated Expenditure by Irish Residents,2003,Domestic,All reasons for journey,Euro Million,970.1
Estimated Expenditure by Irish Residents,2003,Domestic,Holiday,Euro Million,575.9
Estimated Expenditure by Irish Residents,2003,Domestic,Business,Euro Million,157.6
Estimated Expenditure by Irish Residents,2003,Domestic,Visiting friends/relatives,Euro Million,114.0
Estimated Expenditure by Irish Residents,2003,Domestic,Other reasons,Euro Million,123.4
Estimated Expenditure by Irish Residents,2003,Outbound,All reasons for journey,Euro Million,4092.2
Estimated Expenditure by Irish Residents,2003,Outbound,Holiday,Euro Million,2720.1
Estimated Expenditure by Irish Residents,2003,Outbound,Business,Euro Million,792.3
Estimated Expenditure by Irish Residents,2003,Outbound,Visiting friends/relatives,Euro Million,366.7
Estimated Expenditure by Irish Residents,2003,Outbound,Other reasons,Euro Million,213.1
Estimated Expenditure by Irish Residents,2004,Domestic,All reasons for journey,Euro Million,1037.2
Estimated Expenditure by Irish Residents,2004,Domestic,Holiday,Euro Million,624.9
Estimated Expenditure by Irish Residents,2004,Domestic,Business,Euro Million,162.5
Estimated Expenditure by Irish Residents,2004,Domestic,Visiting friends/relatives,Euro Million,121.1
Estimated Expenditure by Irish Residents,2004,Domestic,Other reasons,Euro Million,128.7
Estimated Expenditure by Irish Residents,2004,Outbound,All reasons for journey,Euro Million,4258.2
Estimated Expenditure by Irish Residents,2004,Outbound,Holiday,Euro Million,2927.1
Estimated Expenditure by Irish Residents,2004,Outbound,Business,Euro Million,741.5
Estimated Expenditure by Irish Residents,2004,Outbound,Visiting friends/relatives,Euro Million,387.4
Estimated Expenditure by Irish Residents,2004,Outbound,Other reasons,Euro Million,202.2
Estimated Expenditure by Irish Residents,2005,Domestic,All reasons for journey,Euro Million,1164.5
Estimated Expenditure by Irish Residents,2005,Domestic,Holiday,Euro Million,706.8
Estimated Expenditure by Irish Residents,2005,Domestic,Business,Euro Million,188.3
Estimated Expenditure by Irish Residents,2005,Domestic,Visiting friends/relatives,Euro Million,142.4
Estimated Expenditure by Irish Residents,2005,Domestic,Other reasons,Euro Million,127.0
Estimated Expenditure by Irish Residents,2005,Outbound,All reasons for journey,Euro Million,5044.1
Estimated Expenditure by Irish Residents,2005,Outbound,Holiday,Euro Million,3407.1
Estimated Expenditure by Irish Residents,2005,Outbound,Business,Euro Million,840.6
Estimated Expenditure by Irish Residents,2005,Outbound,Visiting friends/relatives,Euro Million,531.7
Estimated Expenditure by Irish Residents,2005,Outbound,Other reasons,Euro Million,264.7
Estimated Expenditure by Irish Residents,2006,Domestic,All reasons for journey,Euro Million,1375.2
Estimated Expenditure by Irish Residents,2006,Domestic,Holiday,Euro Million,872.7
Estimated Expenditure by Irish Residents,2006,Domestic,Business,Euro Million,227.3
Estimated Expenditure by Irish Residents,2006,Domestic,Visiting friends/relatives,Euro Million,181.8
Estimated Expenditure by Irish Residents,2006,Domestic,Other reasons,Euro Million,93.4
Estimated Expenditure by Irish Residents,2006,Outbound,All reasons for journey,Euro Million,6134.5
Estimated Expenditure by Irish Residents,2006,Outbound,Holiday,Euro Million,4363.9
Estimated Expenditure by Irish Residents,2006,Outbound,Business,Euro Million,849.0
Estimated Expenditure by Irish Residents,2006,Outbound,Visiting friends/relatives,Euro Million,696.7
Estimated Expenditure by Irish Residents,2006,Outbound,Other reasons,Euro Million,224.9
Estimated Expenditure by Irish Residents,2007,Domestic,All reasons for journey,Euro Million,1551.0
Estimated Expenditure by Irish Residents,2007,Domestic,Holiday,Euro Million,1028.1
Estimated Expenditure by Irish Residents,2007,Domestic,Business,Euro Million,194.1
Estimated Expenditure by Irish Residents,2007,Domestic,Visiting friends/relatives,Euro Million,219.7
Estimated Expenditure by Irish Residents,2007,Domestic,Other reasons,Euro Million,109.1
Estimated Expenditure by Irish Residents,2007,Outbound,All reasons for journey,Euro Million,7344.8
Estimated Expenditure by Irish Residents,2007,Outbound,Holiday,Euro Million,5542.4
Estimated Expenditure by Irish Residents,2007,Outbound,Business,Euro Million,784.3
Estimated Expenditure by Irish Residents,2007,Outbound,Visiting friends/relatives,Euro Million,784.7
Estimated Expenditure by Irish Residents,2007,Outbound,Other reasons,Euro Million,233.4
Estimated Expenditure by Irish Residents,2008,Domestic,All reasons for journey,Euro Million,1546.0
Estimated Expenditure by Irish Residents,2008,Domestic,Holiday,Euro Million,1027.9
Estimated Expenditure by Irish Residents,2008,Domestic,Business,Euro Million,162.8
Estimated Expenditure by Irish Residents,2008,Domestic,Visiting friends/relatives,Euro Million,215.7
Estimated Expenditure by Irish Residents,2008,Domestic,Other reasons,Euro Million,139.6
Estimated Expenditure by Irish Residents,2008,Outbound,All reasons for journey,Euro Million,7187.0
Estimated Expenditure by Irish Residents,2008,Outbound,Holiday,Euro Million,5282.7
Estimated Expenditure by Irish Residents,2008,Outbound,Business,Euro Million,785.7
Estimated Expenditure by Irish Residents,2008,Outbound,Visiting friends/relatives,Euro Million,840.8
Estimated Expenditure by Irish Residents,2008,Outbound,Other reasons,Euro Million,277.8
Estimated Expenditure by Irish Residents,2009,Domestic,All reasons for journey,Euro Million,1389.8
Estimated Expenditure by Irish Residents,2009,Domestic,Holiday,Euro Million,843.3
Estimated Expenditure by Irish Residents,2009,Domestic,Business,Euro Million,136.2
Estimated Expenditure by Irish Residents,2009,Domestic,Visiting friends/relatives,Euro Million,171.1
Estimated Expenditure by Irish Residents,2009,Domestic,Education and training,Euro Million,61.9
Estimated Expenditure by Irish Residents,2009,Domestic,Sporting events,Euro Million,39.3
Estimated Expenditure by Irish Residents,2009,Domestic,Other reasons,Euro Million,138.0
Estimated Expenditure by Irish Residents,2009,Outbound,All reasons for journey,Euro Million,5786.9
Estimated Expenditure by Irish Residents,2009,Outbound,Holiday,Euro Million,3949.8
Estimated Expenditure by Irish Residents,2009,Outbound,Business,Euro Million,649.0
Estimated Expenditure by Irish Residents,2009,Outbound,Visiting friends/relatives,Euro Million,732.9
Estimated Expenditure by Irish Residents,2009,Outbound,Education and training,Euro Million,129.6
Estimated Expenditure by Irish Residents,2009,Outbound,Sporting events,Euro Million,136.2
Estimated Expenditure by Irish Residents,2009,Outbound,Other reasons,Euro Million,189.4
Estimated Expenditure by Irish Residents,2010,Domestic,All reasons for journey,Euro Million,1560.5
Estimated Expenditure by Irish Residents,2010,Domestic,Holiday,Euro Million,971.9
Estimated Expenditure by Irish Residents,2010,Domestic,Business,Euro Million,85.9
Estimated Expenditure by Irish Residents,2010,Domestic,Visiting friends/relatives,Euro Million,270.5
Estimated Expenditure by Irish Residents,2010,Domestic,Education and training,Euro Million,40.5
Estimated Expenditure by Irish Residents,2010,Domestic,Work/looking for work,Euro Million,19.5
Estimated Expenditure by Irish Residents,2010,Domestic,Sporting events,Euro Million,54.1
Estimated Expenditure by Irish Residents,2010,Domestic,Other reasons,Euro Million,118.1
Estimated Expenditure by Irish Residents,2010,Outbound,All reasons for journey,Euro Million,5895.7
Estimated Expenditure by Irish Residents,2010,Outbound,Holiday,Euro Million,3812.9
Estimated Expenditure by Irish Residents,2010,Outbound,Business,Euro Million,628.5
Estimated Expenditure by Irish Residents,2010,Outbound,Visiting friends/relatives,Euro Million,872.8
Estimated Expenditure by Irish Residents,2010,Outbound,Education and training,Euro Million,119.3
Estimated Expenditure by Irish Residents,2010,Outbound,Work/looking for work,Euro Million,91.2
Estimated Expenditure by Irish Residents,2010,Outbound,Sporting events,Euro Million,133.9
Estimated Expenditure by Irish Residents,2010,Outbound,Other reasons,Euro Million,237.2
Estimated Expenditure by Irish Residents,2011,Domestic,All reasons for journey,Euro Million,1415.9
Estimated Expenditure by Irish Residents,2011,Domestic,Holiday,Euro Million,864.9
Estimated Expenditure by Irish Residents,2011,Domestic,Business,Euro Million,76.9
Estimated Expenditure by Irish Residents,2011,Domestic,Visiting friends/relatives,Euro Million,265.9
Estimated Expenditure by Irish Residents,2011,Domestic,Education and training,Euro Million,26.5
Estimated Expenditure by Irish Residents,2011,Domestic,Work/looking for work,Euro Million,23.4
Estimated Expenditure by Irish Residents,2011,Domestic,Sporting events,Euro Million,51.0
Estimated Expenditure by Irish Residents,2011,Domestic,Other reasons,Euro Million,107.2
Estimated Expenditure by Irish Residents,2011,Outbound,All reasons for journey,Euro Million,5408.1
Estimated Expenditure by Irish Residents,2011,Outbound,Holiday,Euro Million,3148.6
Estimated Expenditure by Irish Residents,2011,Outbound,Business,Euro Million,744.8
Estimated Expenditure by Irish Residents,2011,Outbound,Visiting friends/relatives,Euro Million,938.4
Estimated Expenditure by Irish Residents,2011,Outbound,Education and training,Euro Million,72.7
Estimated Expenditure by Irish Residents,2011,Outbound,Work/looking for work,Euro Million,108.8
Estimated Expenditure by Irish Residents,2011,Outbound,Sporting events,Euro Million,134.5
Estimated Expenditure by Irish Residents,2011,Outbound,Other reasons,Euro Million,260.4
Estimated Expenditure by Irish Residents,2012,Domestic,All reasons for journey,Euro Million,1514.2
Estimated Expenditure by Irish Residents,2012,Domestic,Holiday,Euro Million,876.2
Estimated Expenditure by Irish Residents,2012,Domestic,Business,Euro Million,80.5
Estimated Expenditure by Irish Residents,2012,Domestic,Visiting friends/relatives,Euro Million,289.6
Estimated Expenditure by Irish Residents,2012,Domestic,Education and training,Euro Million,53.4
Estimated Expenditure by Irish Residents,2012,Domestic,Work/looking for work,Euro Million,37.9
Estimated Expenditure by Irish Residents,2012,Domestic,Sporting events,Euro Million,53.3
Estimated Expenditure by Irish Residents,2012,Domestic,Other reasons,Euro Million,123.4
Estimated Expenditure by Irish Residents,2012,Outbound,All reasons for journey,Euro Million,5342.5
Estimated Expenditure by Irish Residents,2012,Outbound,Holiday,Euro Million,3371.6
Estimated Expenditure by Irish Residents,2012,Outbound,Business,Euro Million,631.4
Estimated Expenditure by Irish Residents,2012,Outbound,Visiting friends/relatives,Euro Million,800.9
Estimated Expenditure by Irish Residents,2012,Outbound,Education and training,Euro Million,78.7
Estimated Expenditure by Irish Residents,2012,Outbound,Work/looking for work,Euro Million,131.1
Estimated Expenditure by Irish Residents,2012,Outbound,Sporting events,Euro Million,151.3
Estimated Expenditure by Irish Residents,2012,Outbound,Other reasons,Euro Million,177.4
Estimated Expenditure by Irish Residents,2013,Domestic,All reasons for journey,Euro Million,1533.0
Estimated Expenditure by Irish Residents,2013,Domestic,Holiday,Euro Million,947.2
Estimated Expenditure by Irish Residents,2013,Domestic,Business,Euro Million,84.2
Estimated Expenditure by Irish Residents,2013,Domestic,Visiting friends/relatives,Euro Million,284.8
Estimated Expenditure by Irish Residents,2013,Domestic,Education and training,Euro Million,46.4
Estimated Expenditure by Irish Residents,2013,Domestic,Work/looking for work,Euro Million,16.9
Estimated Expenditure by Irish Residents,2013,Domestic,Sporting events,Euro Million,49.9
Estimated Expenditure by Irish Residents,2013,Domestic,Other reasons,Euro Million,103.6
Estimated Expenditure by Irish Residents,2013,Outbound,All reasons for journey,Euro Million,5384.2
Estimated Expenditure by Irish Residents,2013,Outbound,Holiday,Euro Million,3192.8
Estimated Expenditure by Irish Residents,2013,Outbound,Business,Euro Million,812.4
Estimated Expenditure by Irish Residents,2013,Outbound,Visiting friends/relatives,Euro Million,888.0
Estimated Expenditure by Irish Residents,2013,Outbound,Education and training,Euro Million,90.1
Estimated Expenditure by Irish Residents,2013,Outbound,Work/looking for work,Euro Million,122.1
Estimated Expenditure by Irish Residents,2013,Outbound,Sporting events,Euro Million,126.3
Estimated Expenditure by Irish Residents,2013,Outbound,Other reasons,Euro Million,152.5
Estimated Expenditure by Irish Residents,2014,Domestic,All reasons for journey,Euro Million,1713.5
Estimated Expenditure by Irish Residents,2014,Domestic,Holiday,Euro Million,992.8
Estimated Expenditure by Irish Residents,2014,Domestic,Business,Euro Million,110.3
Estimated Expenditure by Irish Residents,2014,Domestic,Visiting friends/relatives,Euro Million,327.0
Estimated Expenditure by Irish Residents,2014,Domestic,Education and training,Euro Million,40.6
Estimated Expenditure by Irish Residents,2014,Domestic,Work/looking for work,Euro Million,21.0
Estimated Expenditure by Irish Residents,2014,Domestic,Sporting events,Euro Million,67.3
Estimated Expenditure by Irish Residents,2014,Domestic,Other reasons,Euro Million,154.5
Estimated Expenditure by Irish Residents,2014,Outbound,All reasons for journey,Euro Million,5590.2
Estimated Expenditure by Irish Residents,2014,Outbound,Holiday,Euro Million,3391.1
Estimated Expenditure by Irish Residents,2014,Outbound,Business,Euro Million,812.6
Estimated Expenditure by Irish Residents,2014,Outbound,Visiting friends/relatives,Euro Million,912.1
Estimated Expenditure by Irish Residents,2014,Outbound,Education and training,Euro Million,72.3
Estimated Expenditure by Irish Residents,2014,Outbound,Work/looking for work,Euro Million,114.1
Estimated Expenditure by Irish Residents,2014,Outbound,Sporting events,Euro Million,124.0
Estimated Expenditure by Irish Residents,2014,Outbound,Other reasons,Euro Million,163.9
Estimated Expenditure by Irish Residents,2015,Domestic,All reasons for journey,Euro Million,1725.3
Estimated Expenditure by Irish Residents,2015,Domestic,Holiday,Euro Million,1070.4
Estimated Expenditure by Irish Residents,2015,Domestic,Business,Euro Million,98.0
Estimated Expenditure by Irish Residents,2015,Domestic,Visiting friends/relatives,Euro Million,296.5
Estimated Expenditure by Irish Residents,2015,Domestic,Education and training,Euro Million,60.7
Estimated Expenditure by Irish Residents,2015,Domestic,Work/looking for work,Euro Million,17.9
Estimated Expenditure by Irish Residents,2015,Domestic,Sporting events,Euro Million,58.7
Estimated Expenditure by Irish Residents,2015,Domestic,Other reasons,Euro Million,123.1
Estimated Expenditure by Irish Residents,2015,Outbound,All reasons for journey,Euro Million,6022.1
Estimated Expenditure by Irish Residents,2015,Outbound,Holiday,Euro Million,3836.3
Estimated Expenditure by Irish Residents,2015,Outbound,Business,Euro Million,880.6
Estimated Expenditure by Irish Residents,2015,Outbound,Visiting friends/relatives,Euro Million,759.7
Estimated Expenditure by Irish Residents,2015,Outbound,Education and training,Euro Million,71.0
Estimated Expenditure by Irish Residents,2015,Outbound,Work/looking for work,Euro Million,154.6
Estimated Expenditure by Irish Residents,2015,Outbound,Sporting events,Euro Million,168.1
Estimated Expenditure by Irish Residents,2015,Outbound,Other reasons,Euro Million,151.9
Estimated Expenditure by Irish Residents,2016,Domestic,All reasons for journey,Euro Million,1797.7
Estimated Expenditure by Irish Residents,2016,Domestic,Holiday,Euro Million,1135.8
Estimated Expenditure by Irish Residents,2016,Domestic,Business,Euro Million,106.3
Estimated Expenditure by Irish Residents,2016,Domestic,Visiting friends/relatives,Euro Million,297.0
Estimated Expenditure by Irish Residents,2016,Domestic,Education and training,Euro Million,53.9
Estimated Expenditure by Irish Residents,2016,Domestic,Work/looking for work,Euro Million,19.2
Estimated Expenditure by Irish Residents,2016,Domestic,Sporting events,Euro Million,64.3
Estimated Expenditure by Irish Residents,2016,Domestic,Other reasons,Euro Million,121.2
Estimated Expenditure by Irish Residents,2016,Outbound,All reasons for journey,Euro Million,6539.0
Estimated Expenditure by Irish Residents,2016,Outbound,Holiday,Euro Million,3926.8
Estimated Expenditure by Irish Residents,2016,Outbound,Business,Euro Million,1094.1
Estimated Expenditure by Irish Residents,2016,Outbound,Visiting friends/relatives,Euro Million,893.8
Estimated Expenditure by Irish Residents,2016,Outbound,Education and training,Euro Million,92.8
Estimated Expenditure by Irish Residents,2016,Outbound,Work/looking for work,Euro Million,144.2
Estimated Expenditure by Irish Residents,2016,Outbound,Sporting events,Euro Million,177.9
Estimated Expenditure by Irish Residents,2016,Outbound,Other reasons,Euro Million,209.2
Estimated Expenditure by Irish Residents,2017,Domestic,All reasons for journey,Euro Million,1879.1
Estimated Expenditure by Irish Residents,2017,Domestic,Holiday,Euro Million,1129.2
Estimated Expenditure by Irish Residents,2017,Domestic,Business,Euro Million,123.3
Estimated Expenditure by Irish Residents,2017,Domestic,Visiting friends/relatives,Euro Million,353.1
Estimated Expenditure by Irish Residents,2017,Domestic,Education and training,Euro Million,73.3
Estimated Expenditure by Irish Residents,2017,Domestic,Work/looking for work,Euro Million,19.3
Estimated Expenditure by Irish Residents,2017,Domestic,Sporting events,Euro Million,62.1
Estimated Expenditure by Irish Residents,2017,Domestic,Other reasons,Euro Million,118.7
Estimated Expenditure by Irish Residents,2017,Outbound,All reasons for journey,Euro Million,6890.7
Estimated Expenditure by Irish Residents,2017,Outbound,Holiday,Euro Million,4337.6
Estimated Expenditure by Irish Residents,2017,Outbound,Business,Euro Million,913.8
Estimated Expenditure by Irish Residents,2017,Outbound,Visiting friends/relatives,Euro Million,910.8
Estimated Expenditure by Irish Residents,2017,Outbound,Education and training,Euro Million,165.2
Estimated Expenditure by Irish Residents,2017,Outbound,Work/looking for work,Euro Million,175.7
Estimated Expenditure by Irish Residents,2017,Outbound,Sporting events,Euro Million,185.2
Estimated Expenditure by Irish Residents,2017,Outbound,Other reasons,Euro Million,202.4
Estimated Expenditure by Irish Residents,2018,Domestic,All reasons for journey,Euro Million,2006.0
Estimated Expenditure by Irish Residents,2018,Domestic,Holiday,Euro Million,1232.6
Estimated Expenditure by Irish Residents,2018,Domestic,Business,Euro Million,116.9
Estimated Expenditure by Irish Residents,2018,Domestic,Visiting friends/relatives,Euro Million,352.9
Estimated Expenditure by Irish Residents,2018,Domestic,Education and training,Euro Million,56.7
Estimated Expenditure by Irish Residents,2018,Domestic,Work/looking for work,Euro Million,30.6
Estimated Expenditure by Irish Residents,2018,Domestic,Sporting events,Euro Million,61.6
Estimated Expenditure by Irish Residents,2018,Domestic,Other reasons,Euro Million,154.7
Estimated Expenditure by Irish Residents,2018,Outbound,All reasons for journey,Euro Million,7434.6
Estimated Expenditure by Irish Residents,2018,Outbound,Holiday,Euro Million,4892.9
Estimated Expenditure by Irish Residents,2018,Outbound,Business,Euro Million,1055.6
Estimated Expenditure by Irish Residents,2018,Outbound,Visiting friends/relatives,Euro Million,963.6
Estimated Expenditure by Irish Residents,2018,Outbound,Education and training,Euro Million,103.8
Estimated Expenditure by Irish Residents,2018,Outbound,Work/looking for work,Euro Million,85.0
Estimated Expenditure by Irish Residents,2018,Outbound,Sporting events,Euro Million,173.4
Estimated Expenditure by Irish Residents,2018,Outbound,Other reasons,Euro Million,160.3
Estimated Expenditure by Irish Residents,2019,Domestic,All reasons for journey,Euro Million,2146.6
Estimated Expenditure by Irish Residents,2019,Domestic,Holiday,Euro Million,1335.9
Estimated Expenditure by Irish Residents,2019,Domestic,Business,Euro Million,124.9
Estimated Expenditure by Irish Residents,2019,Domestic,Visiting friends/relatives,Euro Million,371.8
Estimated Expenditure by Irish Residents,2019,Domestic,Education and training,Euro Million,76.4
Estimated Expenditure by Irish Residents,2019,Domestic,Work/looking for work,Euro Million,26.9
Estimated Expenditure by Irish Residents,2019,Domestic,Sporting events,Euro Million,74.4
Estimated Expenditure by Irish Residents,2019,Domestic,Other reasons,Euro Million,136.3
Estimated Expenditure by Irish Residents,2019,Outbound,All reasons for journey,Euro Million,8252.6
Estimated Expenditure by Irish Residents,2019,Outbound,Holiday,Euro Million,5343.0
Estimated Expenditure by Irish Residents,2019,Outbound,Business,Euro Million,1087.6
Estimated Expenditure by Irish Residents,2019,Outbound,Visiting friends/relatives,Euro Million,1028.5
Estimated Expenditure by Irish Residents,2019,Outbound,Education and training,Euro Million,115.0
Estimated Expenditure by Irish Residents,2019,Outbound,Work/looking for work,Euro Million,143.8
Estimated Expenditure by Irish Residents,2019,Outbound,Sporting events,Euro Million,276.0
Estimated Expenditure by Irish Residents,2019,Outbound,Other reasons,Euro Million,258.8
Estimated Expenditure by Irish Residents,2020,Domestic,All reasons for journey,Euro Million,1554.0
Estimated Expenditure by Irish Residents,2020,Domestic,Holiday,Euro Million,1128.0
Estimated Expenditure by Irish Residents,2020,Domestic,Business,Euro Million,62.0
Estimated Expenditure by Irish Residents,2020,Domestic,Visiting friends/relatives,Euro Million,230.0
Estimated Expenditure by Irish Residents,2020,Domestic,Other reasons,Euro Million,133.0
Estimated Expenditure by Irish Residents,2020,Outbound,All reasons for journey,Euro Million,2122.0
Estimated Expenditure by Irish Residents,2021,Domestic,All reasons for journey,Euro Million,1291.0
Estimated Expenditure by Irish Residents,2021,Domestic,Holiday,Euro Million,998.0
Estimated Expenditure by Irish Residents,2021,Domestic,Business,Euro Million,41.0
Estimated Expenditure by Irish Residents,2021,Domestic,Visiting friends/relatives,Euro Million,176.0
Estimated Expenditure by Irish Residents,2021,Domestic,Other reasons,Euro Million,75.0
Estimated Expenditure by Irish Residents,2021,Outbound,All reasons for journey,Euro Million,1958.0
Estimated Expenditure by Irish Residents,2021,Outbound,Holiday,Euro Million,998.0
Estimated Expenditure by Irish Residents,2021,Outbound,Business,Euro Million,177.0
Estimated Expenditure by Irish Residents,2021,Outbound,Visiting friends/relatives,Euro Million,519.0
Estimated Expenditure by Irish Residents,2021,Outbound,Other reasons,Euro Million,264.0
Estimated Expenditure by Irish Residents,2022,Domestic,All reasons for journey,Euro Million,2930.0
Estimated Expenditure by Irish Residents,2022,Domestic,Holiday,Euro Million,1859.0
Estimated Expenditure by Irish Residents,2022,Domestic,Business,Euro Million,172.0
Estimated Expenditure by Irish Residents,2022,Domestic,Visiting friends/relatives,Euro Million,504.0
Estimated Expenditure by Irish Residents,2022,Domestic,Other reasons,Euro Million,396.0
Estimated Expenditure by Irish Residents,2022,Outbound,All reasons for journey,Euro Million,8518.0
Estimated Expenditure by Irish Residents,2022,Outbound,Holiday,Euro Million,5835.0
Estimated Expenditure by Irish Residents,2022,Outbound,Business,Euro Million,841.0
Estimated Expenditure by Irish Residents,2022,Outbound,Visiting friends/relatives,Euro Million,1473.0
Estimated Expenditure by Irish Residents,2022,Outbound,Other reasons,Euro Million,369.0
Estimated Expenditure by Irish Residents,2023,Domestic,All reasons for journey,Euro Million,3121.0
Estimated Expenditure by Irish Residents,2023,Domestic,Holiday,Euro Million,1915.0
Estimated Expenditure by Irish Residents,2023,Domestic,Business,Euro Million,183.0
Estimated Expenditure by Irish Residents,2023,Domestic,Visiting friends/relatives,Euro Million,706.0
Estimated Expenditure by Irish Residents,2023,Domestic,Other reasons,Euro Million,317.0
Estimated Expenditure by Irish Residents,2023,Outbound,All reasons for journey,Euro Million,12947.0
Estimated Expenditure by Irish Residents,2023,Outbound,Holiday,Euro Million,8561.0
Estimated Expenditure by Irish Residents,2023,Outbound,Business,Euro Million,1294.0
Estimated Expenditure by Irish Residents,2023,Outbound,Visiting friends/relatives,Euro Million,2459.0
Estimated Expenditure by Irish Residents,2023,Outbound,Other reasons,Euro Million,633.0
Estimated Expenditure by Irish Residents,2024,Domestic,All reasons for journey,Euro Million,3600.6
Estimated Expenditure by Irish Residents,2024,Domestic,Holiday,Euro Million,2147.3
Estimated Expenditure by Irish Residents,2024,Domestic,Business,Euro Million,217.0
Estimated Expenditure by Irish Residents,2024,Domestic,Visiting friends/relatives,Euro Million,836.6
Estimated Expenditure by Irish Residents,2024,Domestic,Other reasons,Euro Million,399.6
Estimated Expenditure by Irish Residents,2024,Outbound,All reasons for journey,Euro Million,11809.0
Estimated Expenditure by Irish Residents,2024,Outbound,Holiday,Euro Million,7979.8
Estimated Expenditure by Irish Residents,2024,Outbound,Business,Euro Million,976.4
Estimated Expenditure by Irish Residents,2024,Outbound,Visiting friends/relatives,Euro Million,2212.3
Estimated Expenditure by Irish Residents,2024,Outbound,Other reasons,Euro Million,640.6
